Weight Class,Rank,Wrestler Name,Year and Record,Team,Team Rank
141,#22,"Chappell, Dylan",JR |  0 - 0,#41 Bucknell,41 Bucknell
141,#23,"Owen, Kai",JR |  0 - 0,#50 Columbia,50 Columbia
141,#24,"Nugent, Jimmy",JR |  0 - 0,#38 Central Michigan,38 Central Michigan
141,#25,"Pucino, Danny",SR |  0 - 0,#17 Illinois,17 Illinois
141,#26,"Hamdan, Jordan",SR |  0 - 0,#59 Michigan State,59 Michigan State
141,#27,"Sullivan, Ryan",SR |  0 - 0,#48 Clarion,48 Clarion
141,#28,"Miller, Kal",JR |  0 - 0,#34 Maryland,34 Maryland
141,#29,"Carter, Todd",SR |  0 - 0,#67 Gardner-Webb,67 Gardner-Webb
141,#30,"Phillips, Pat",SR |  0 - 0,#65 Franklin & Marshall,65 Franklin & Marshall
141,#31,"Brya, Jacob",SO |  0 - 0,#44 Northern Illinois,44 Northern Illinois
141,#32,"Vasquez, Tyler",SO |  0 - 0,#46 Princeton,46 Princeton
141,#33,"Guanajuato, Derek",FR |  0 - 0,#19 North Carolina,19 North Carolina
149,#1,"Henson, Caleb",JR |  0 - 0,#12 Virginia Tech,12 Virginia Tech
149,#2,"Watters, Ty",SO |  0 - 0,#18 West Virginia,18 West Virginia
149,#3,"Lovett, Ridge",SR |  0 - 0,#6 Nebraska,6 Nebraska
149,#4,"Arrington, Jackson",JR |  0 - 0,#5 NC State,5 NC State
149,#5,"Van Ness, Shayne",JR |  0 - 0,#1 Penn State,1 Penn State
149,#6,"McNeil, Lachlan",JR |  0 - 0,#19 North Carolina,19 North Carolina
149,#7,"Echemendia, Anthony",JR |  0 - 0,#15 Iowa State,15 Iowa State
149,#8,"Webster, Kannon",FR |  0 - 0,#17 Illinois,17 Illinois
149,#9,"Lamer, Chance",JR |  0 - 0,#32 Cal Poly,32 Cal Poly
149,#10,"Williams, Jordan",SO |  0 - 0,#2 Oklahoma State,2 Oklahoma State
149,#11,"Abas, Jaden",SR |  0 - 0,#16 Stanford,16 Stanford
149,#12,"Fernandez, Ethan",JR |  0 - 0,#10 Cornell,10 Cornell
149,#13,"Realbuto, Colin",SR |  0 - 0,#7 Northern Iowa,7 Northern Iowa
149,#14,"D'Emilio, Dylan",SR |  0 - 0,#3 Ohio State,3 Ohio State
149,#15,"Griffin, Kelvin",SO |  0 - 0,#9 Lehigh,9 Lehigh
149,#16,"Willochell, Gabe",JR |  0 - 0,#25 Wyoming,25 Wyoming
149,#17,"Rathjen, Caleb",JR |  0 - 0,#4 Iowa,4 Iowa
149,#18,"Miller, Ethen",JR |  0 - 0,#34 Maryland,34 Maryland
149,#19,"Zargo, Joseph",SR |  0 - 0,#51 Wisconsin,51 Wisconsin
149,#20,"Cartella, Sam",FR |  0 - 0,#37 Northwestern,37 Northwestern
149,#21,"Jones, Jaivon",SR |  0 - 0,#44 Northern Illinois,44 Northern Illinois
149,#22,"McDougald, Willie",JR |  0 - 0,#21 Oklahoma,21 Oklahoma
149,#23,"Tyus, Caleb",SR |  0 - 0,#53 Southern Illinois Edwardsville,53 Southern Illinois Edwardsville
149,#24,"Dunnigan, Kelly",JR |  0 - 0,#28 Pennsylvania,28 Pennsylvania
149,#25,"Alvarez, Sammy",SR |  0 - 0,#39 Rider,39 Rider
149,#26,"Martin, Alek",JR |  0 - 0,#22 South Dakota State,22 South Dakota State
149,#27,"Gilcher, Dylan",FR |  0 - 0,#11 Michigan,11 Michigan
149,#28,"Cassidy, Kaden",JR |  0 - 0,#40 George Mason,40 George Mason
