Weight Class,Rank,Wrestler Name,Year and Record,Team,Team Rank
285,#23,"Catka, Ryan",SR |  0 - 0,#35 Virginia,35 Virginia
285,#24,"Tinker, Trevor",JR |  0 - 0,#32 Cal Poly,32 Cal Poly
285,#25,"Andrews, Harley",SO |  0 - 0,#6 Nebraska,6 Nebraska
285,#26,"Valdez, Jose",SR |  0 - 0,#7 Northern Iowa,7 Northern Iowa
285,#27,"Mitchell, Sam",SR |  0 - 0,#25 Wyoming,25 Wyoming
285,#28,"Jenkins, Ira",SO |  0 - 0,#11 Michigan,11 Michigan
285,#29,"Tabor, Bennett",JR |  0 - 0,#13 Minnesota,13 Minnesota
285,#30,"Davis, Ashton",SO |  0 - 0,#10 Cornell,10 Cornell
285,#31,"Stoddard, Lucas",SO |  0 - 0,#27 Army West Point,27 Army West Point
285,#32,"Wolfgram, Michael",SR |  0 - 0,#18 West Virginia,18 West Virginia
285,#33,"Jarrell, William",SR |  0 - 0,#63 American,63 American
